Name,Source,Page,Prerequisites,Ability Scores,Repeatable,Description,5etools Link
Strixhaven Mascot,SCC,37,"4th level, strixhaven initiate",,No,"You have learned how to summon a Strixhaven mascot to assist you, granting you these benefits:You can cast the find familiar spell as a ritual.
Your familiar can take the form of the mascot associated with the college you chose for the Strixhaven Initiate feat:
a spirit statue mascot (Lorehold), an art elemental mascot (Prismari), a fractal mascot (Quandrix), an inkling mascot (Silverquill), or a pest mascot (Witherbloom).When you take the Attack action on your turn, you can forgo one attack to allow your mascot familiar to make one attack of its own with its reaction.If your mascot familiar is within 60 feet of you, you can teleport as an action, swapping places with the familiar.
If your destination space is too small for you to occupy, the teleportation fails and is wasted.
Once you teleport in this way, you can't do so again until you finish a long rest, unless you expend a spell slot of 2nd level or higher to do it again.",https://5e.tools/feats.html#strixhaven%20mascot_scc
Sure at the Mark,TLotRR,87,,,No,"Hobbits are nimble and keen-eyed, qualities that make them good archers.
You have honed this natural talent to perfection, so much so that you just need to stoop for a stone to find yourself armed with a deadly weapon.Increase your Dexterity score by 1, to a maximum of 20.You are proficient with improvised weapons.When making a ranged attack with an improvised weapon, you can use your choice of your Strength or your Dexterity modifier for the attack and damage rolls.As a bonus action, you can give yourself advantage on your next ranged attack roll on the current turn.
You can use this bonus action only if you haven't taken reactions during this turn, and after you use the bonus action, you cannot take reactions until the start of your next turn.",https://5e.tools/feats.html#sure%20at%20the%20mark_tlotrr
Svirfneblin Magic,MTF,114,Gnome (deep),,No,"You have inherited the innate spellcasting ability of your ancestors.
This ability allows you to cast nondetection on yourself at will, without needing a material component.
You can also cast each of the following spells once with this ability:
blindness/deafness, blur, and disguise self.
You regain the ability to cast these spells when you finish a long rest.Intelligence is your spellcasting ability for these spells, and you cast them at their lowest possible levels.",https://5e.tools/feats.html#svirfneblin%20magic_mtf
Tavern Brawler,PHB,170,,,No,"Accustomed to rough-and-tumble fighting using whatever weapons happen to be at hand, you gain the following benefits:Increase your Strength or Constitution by 1, to a maximum of 20.You are proficient with improvised weapons.Your unarmed strike uses a d4 for damage.When you hit a creature with an unarmed strike or an improvised weapon on your turn, you can use a bonus action to attempt to grapple the target.",https://5e.tools/feats.html#tavern%20brawler_phb
Telekinetic,TCE,81,,,No,"You learn to move things with your mind, granting you the following benefits:Increase your Intelligence, Wisdom, or Charisma by 1, to a maximum of 20.You learn the mage hand cantrip.
You can cast it without verbal or somatic components, and you can make the spectral hand invisible.
If you already know this spell, its range increases by 30 feet when you cast it.
Its spellcasting ability is the ability increased by this feat.As a bonus action, you can try to telekinetically shove one creature you can see within 30 feet of you.
When you do so, the target must succeed on a Strength saving throw (DC 8 + your proficiency bonus + the ability modifier of the score increased by this feat) or be moved 5 feet toward you or away from you.
A creature can willingly fail this save.",https://5e.tools/feats.html#telekinetic_tce
Telepathic,TCE,81,,,No,"You awaken the ability to mentally connect with others, granting you the following benefits:Increase your Intelligence, Wisdom, or Charisma by 1, to a maximum of 20.You can speak telepathically to any creature you can see within 60 feet of you.
Your telepathic utterances are in a language you know, and the creature understands you only if it knows that language.
Your communication doesn't give the creature the ability to respond to you telepathically.You can cast the detect thoughts spell, requiring no spell slot or components, and you must finish a long rest before you can cast it this way again.
Your spellcasting ability for the spell is the ability increased by this feat.
If you have spell slots of 2nd level or higher, you can cast this spell with them.",https://5e.tools/feats.html#telepathic_tce
Tellu and Scale's Master Cut,ObojimaTallGrass,164,You must have beaten a master at Master Tellu and Scale's Sword School,,No,"Having trained with the masters of the valley sword school, you have learned the usefulness of quickly changing between different fighting techniques in the midst of battle.
You gain the following benefits:One Handed.
While wielding a versatile weapon in one hand, your quick movements and agile defense allow you to regain ground even when your enemy advances.
Once before the start of your next turn when you're missed by a melee attack from a creature within your reach, the attacker takes damage from your weapon equal to twice your proficiency bonus.Two Handed.
When wielding a versatile weapon in two hands, your powerful stance allows you to catch your target off guard.
Whenever an enemy within your reach makes a melee weapon attack against you and misses, you can use your reaction to attempt to knock the attacker off balance.
The target must succeed on a Dexterity saving throw (DC 8 + your Strength modifier + your proficiency bonus) or be knocked prone.",https://5e.tools/feats.html#tellu%20and%20scale's%20master%20cut_obojimatallgrass
The Art of Smoking,TLotRR,89,,,No,"You have mastered the art of smoking pipe-weed, and you always carry your pipe with you, as well as a bag of tobacco, for using it grants you patience and clarity of mind.Increase your Intelligence, Wisdom, or Charisma by 1, to a maximum of 20.Your proficiency bonus is doubled for any ability check you make with pipes.You can use your pipe to gain inspiration a number of times equal to your proficiency bonus, instead of once, before you need to finish a long rest.",https://5e.tools/feats.html#the%20art%20of%20smoking_tlotrr
The Language of Birds,TLotRR,83,,,No,"Stories told in the North say how Dalemen can become so wise as to comprehend the speech of birds, and so by understanding their song be forewarned of impending threats, or be able to spot a weakness in their enemies' defences.Increase your Intelligence or Wisdom by 1, to a maximum of 20.You can comprehend and verbally communicate with birds, and you can obtain a magical success on any Intelligence (Nature) and Wisdom (Animal Handling) check related to birds.When you are outside and you make an ability check, attack roll, or saving throw, you can do so with advantage.
You can use this virtue a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#the%20language%20of%20birds_tlotrr
Three is Company,TLotRR,87,,,No,"The Wise say that it is sometimes best to trust to friendship than to great wisdom.
This is particularly true for Hobbits, as everyone knows that it is hardly possible to separate them from their friends.
You have given your trust to your fellow Company members, and a true friendship has grown from the bond unifying you.Increase your Charisma score by 1, to a maximum of 20.Increase the Fellowship rating of your Company by 1.Whenever you or a companion you can see spend a Fellowship point, choose a number of companions (which can include yourself) who can see or hear you, up to your proficiency bonus.
Each of those companions gains inspiration.",https://5e.tools/feats.html#three%20is%20company_tlotrr
Toraf and Bolder's Master Cut,ObojimaTallGrass,164,You must have beaten a master at Master Toraf and Bolder's Sword School,,No,"Having trained with the masters of the mountain sword school, you've learned how to pull off difficult weapon maneuvers which allow you to target specific parts of a creature's anatomy.
You gain the following benefits:Head Strike.
Before you make a melee attack with a weapon that you are proficient with, you can choose to take a -5 penalty to the attack roll.
If the attack hits, the target has disadvantage on the next attack roll it makes before the end of its next turn.Torso Strike.
Before you make a melee attack with a weapon that you are proficient with, you can choose to take a -5 penalty to the attack roll.
If the attack hits, the target can't speak until the start of your next turn, after which it is immune to the effects of Torso Strike for the next minute.Leg Strike.
Before you make a melee attack with a weapon that you are proficient with, you can choose to take a -5 penalty to the attack roll.
If the attack hits, the target's speed is reduced by 10 feet (to a minimum speed of 10 feet).
This effect lasts until the start of your next turn.You can only use one of these strikes per attack.",https://5e.tools/feats.html#toraf%20and%20bolder's%20master%20cut_obojimatallgrass
Tough,PHB,170,,,No,"Your hit point maximum increases by an amount equal to twice your level when you gain this feat.
Whenever you gain a level thereafter, your hit point maximum increases by an additional 2 hit points.",https://5e.tools/feats.html#tough_phb
Tough as Old Tree-Roots,TLotRR,88,,,No,"They say that Hobbits are difficult to dismay or kill, and that they recover their health at a prodigious pace if allowed to enjoy some peace and quiet.
You have discovered that you recover wonderfully from falls and bruises (at the cost of some considerable pain).Increase your Constitution score by 1, to a maximum of 20.When you would roll one or more Hit Dice to regain hit points, you instead use the highest number possible for each die.",https://5e.tools/feats.html#tough%20as%20old%20tree-roots_tlotrr
Untameable Spirit,TLotRR,84,,,No,"Dwarves were made from their beginning to resist any form of domination.
You have strengthened your resolve against all but the most subtle of the weapons of the Enemy.Increase your Intelligence or Wisdom by 1, to a maximum of 20.You are immune to being charmed.You have advantage on Intelligence saving throws.",https://5e.tools/feats.html#untameable%20spirit_tlotrr
Vigor of the Hill Giant,BGG,19,"4th level, strike of the giants (hill strike)",,No,"You've manifested the resilience emblematic of hill giants, granting you the following benefits:Ability Score Increase.
Increase your Strength, Constitution, or Wisdom by 1, to a maximum of 20.Bulwark.
When you are subjected to an effect that would move you at least 5 feet or give you the prone condition, you can use your reaction to steady yourself.
You aren't moved and don't have the prone condition.Iron Stomach.
Whenever you eat food as part of a short rest and spend one or more Hit Dice to regain hit points, you regain additional hit points equal to your Constitution modifier + your proficiency bonus.",https://5e.tools/feats.html#vigor%20of%20the%20hill%20giant_bgg
Virtue,TLotRR,68,,,No,You gain a common or cultural virtue of your choice (see Chapter 4).,https://5e.tools/feats.html#virtue_tlotrr
Vocalist Arcanist,ObojimaTallGrass,165,,,No,"Your unique method of weaving song into magic allows you to enhance your spells through your magical vocals.
When you cast a spell that forces a target to make a saving throw or requires you to make a spell attack roll, you can choose to enhance the spell through song.
You can wait until after you roll the d20 before deciding to use this, but must decide before the GM says whether the roll succeeds or fails.When you do so, make a Charisma (Performance) check.
The DC for this check is equal to 10 + the spell's level.
On a success, your proficiency bonus is doubled for the spell attack roll or your save DC for that casting of the spell.Once you have succeeded on this check three times, you can't use this benefit again until the next dawn.",https://5e.tools/feats.html#vocalist%20arcanist_obojimatallgrass
War Caster,PHB,170,The ability to cast at least one spell,,No,"You have practiced casting spells in the midst of combat, learning techniques that grant you the following benefits:You have advantage on Constitution saving throws that you make to maintain your concentration on a spell when you take damage.You can perform the somatic components of spells even when you have weapons or a shield in one or both hands.When a hostile creature's movement provokes an opportunity attack from you, you can use your reaction to cast a spell at the creature, rather than making an opportunity attack.
The spell must have a casting time of 1 action and must target only that creature.",https://5e.tools/feats.html#war%20caster_phb
Ways of the Wild,TLotRR,91,,,No,"The Rangers of the North roam ceaselessly, hunting for wicked things and guarding all frontiers.
For you the Wild has become as familiar as the road that leads home is familiar to Hobbits, and the land itself may reveal useful tidings.Increase your Wisdom score by 1, to a maximum of 20.During a journey, you can take on multiple roles without penalties.You gain proficiency in one of the following skills of your choice:
Explore, Hunting, or Travel.
If you are already proficient in each of them, you add double your proficiency bonus to checks you make with one of them of your choice.When you make a Wisdom check using a skill in which you are proficient, you can obtain a magical success.
You can do so a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#ways%20of%20the%20wild_tlotrr
Weapon Master,PHB,170,,,No,"You have practiced extensively with a variety of weapons, gaining the following benefits:Increase your Strength or Dexterity by 1, to a maximum of 20.You gain proficiency with four weapons of your choice.
Each one must be a simple or a martial weapon.",https://5e.tools/feats.html#weapon%20master_phb
Weapon-Craft,TLotRR,66,,,No,"Choose a type of weapon.
You gain proficiency with this weapon if you don't already have it.
When you attack with that type of weapon and the weapon is finesse or ranged, you can use your choice of your Intelligence, Wisdom, or Charisma modifier instead of your Strength or Dexterity modifier for the attack and damage rolls.
You must use the same modifier for both rolls.In addition, when you hit a creature with the chosen weapon, you can spend a craft slot to roll a number of additional weapon damage dice on the damage roll.
The number of additional weapon damage dice is equal to your proficiency bonus.",https://5e.tools/feats.html#weapon-craft_tlotrr
Wetland Explorer,ObojimaTallGrass,165,,,No,"Your deep knowledge of the dangerous creatures that inhabit the world aid you in both fighting and tracking them.
You gain the following benefits:Select two creature types of your choice.
Whenever you roll initiative at the start of a combat that has one or more hostile creatures of the chosen type, you can add your proficiency bonus to the roll.
If a creature has magically altered its form to appear as another creature type, you don't gain this benefit.You gain a +5 bonus to Dexterity (Stealth) and Wisdom (Survival) checks involving one or more of the chosen creature types.You gain a +2 bonus to attack rolls made against a target of the chosen creature type.",https://5e.tools/feats.html#wetland%20explorer_obojimatallgrass
Wood Elf Magic,XGE,75,Elf (wood),,No,"You learn the magic of the primeval woods, which are revered and protected by your people.
You learn one druid cantrip of your choice.
You also learn the longstrider and pass without trace spells, each of which you can cast once without expending a spell slot.
You regain the ability to cast these two spells in this way when you finish a long rest.
Wisdom is your spellcasting ability for all three spells.",https://5e.tools/feats.html#wood%20elf%20magic_xge
Wood-Craft,TLotRR,66,,,No,"You are familiar with the difficulties encountered when crossing wild lands, and with the ways of overcoming them.
You can make an Intelligence (Nature) check in place of any Wisdom (Explore) or Wisdom (Hunting) check.In addition, you can spend 1 hour and a craft slot to make an Intelligence (Nature), Wisdom (Explore), or Wisdom (Hunting) check (your choice).
The DC is determined by the terrain type the Company is currently traversing (as if a journey event was taking place there; see Chapter 5).
The check has disadvantage if it is autumn or winter.
If you succeed, choose one of the following options:Choose a number of creatures equal to your check result minus the terrain DC (minimum 1), which can include yourself.
For 1 hour, each of those creatures has a +5 bonus to its Dexterity (Stealth) checks.
When you reach 5th level, the bonus increases to +10.
If you obtain a magical success, the creatures also leave behind no tracks or other traces of their passage for the duration.Choose a number of creatures equal to your check result minus the terrain DC (minimum 1), which can include yourself.
For 8 hours, each of those creatures has a +5 bonus to its passive Wisdom (Perception) score.
When you reach 5th level, the bonus increases to +10.
If you obtain a magical success, the creatures also gain tremorsense out to a range of 60 feet for the duration.You forage a number of pounds of food and gallons of water equal to your check result minus the terrain DC (minimum 1).
The food lasts for 24 hours, or 48 hours when you reach 5th level.
If you obtain a magical success, each pound of food foraged in this way also restores 1 hit point to the creature eating it during a short or long rest.",https://5e.tools/feats.html#wood-craft_tlotrr
Woodwise,HumblewoodCampaignSetting,47,,,No,"You have lived your entire life in the gnarled, wooded areas of the world.
You are adept at finding your way through even the most treacherous terrain.
You gain the following benefits:You gain proficiency in either the Survival or Nature skill.You ignore difficult terrain.You cannot become lost in natural surroundings except by magical means.",https://5e.tools/feats.html#woodwise_humblewoodcampaignsetting
