"Name","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Adult Blue Dragon","Huge","Dragon (Chromatic)","lawful evil","19","212 (17d12 + 102)","40 ft., burrow 30 ft., fly 80 ft.","25","10","23","16","15","20","Dex +5, Wis +7","Perception +12, Stealth +5","","","lightning","","blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic","16 (15,000 XP) or (18,000 XP) when encountered in lair","Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast Shatter.
Rend. Melee Attack Roll: +12, reach 10 ft. Hit: 16 (2d8 + 7) Slashing damage plus 5 (1d10) Lightning damage.
Lightning Breath (Recharge 5–6). Dexterity Saving Throw: DC 19, each creature in a 90-foot-long, 5-foot-wide Line. Failure: 60 (11d10) Lightning damage. Success: Half damage.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 18):At will: Detect Magic, Invisibility, Mage Hand, Shatter1/day each: Scrying, Sending","","","Cloaked Flight. The dragon uses Spellcasting to cast Invisibility on itself, and it can fly up to half its Fly Speed. The dragon can't take this action again until the start of its next turn.
Sonic Boom. The dragon uses Spellcasting to cast Shatter. The dragon can't take this action again until the start of its next turn.
Tail Swipe. The dragon makes one Rend attack.","","","The region containing an adult or ancient blue dragon's lair is changed by its presence, creating the following effects:Sinkholes. Sinkholes form more frequently in the area within 1 mile of the lair. Whenever a creature in that area other than the dragon and its allies finishes a Long Rest, roll 1d20. On a 1, a sinkhole opens beneath the creature, and the creature must succeed on a DC 15 Dexterity saving throw or fall 2d4 × 10 feet into the sinkhole.Spiteful Storms. Dust devils and thunderstorms rage within 1 mile of the lair. The area is Lightly Obscured.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Coastal, Desert","Relics"
"Adult Brass Dragon","Huge","Dragon (Metallic)","chaotic good","18","172 (15d12 + 75)","40 ft., burrow 30 ft., fly 80 ft.","23","10","21","14","13","17","Dex +5, Wis +6","History +7, Perception +11, Persuasion +8, Stealth +5","","","fire","","blindsight 60 ft., darkvision 120 ft., passive Perception 21","Common, Draconic","13 (10,000 XP) or (11,500 XP) when encountered in lair","Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of (A) Sleep Breath or (B) Spellcasting to cast Scorching Ray.
Rend. Melee Attack Roll: +11, reach 10 ft. Hit: 17 (2d10 + 6) Slashing damage plus 4 (1d8) Fire damage.
Fire Breath (Recharge 5–6). Dexterity Saving Throw: DC 18, each creature in a 60-foot-long, 5-foot-wide Line. Failure: 45 (10d8) Fire damage. Success: Half damage.
Sleep Breath. Constitution Saving Throw: DC 18, each creature in a 60-foot Cone. Failure: The target has the Incapacitated condition until the end of its next turn, at which point it repeats the save. Second Failure: The target has the Unconscious condition for 10 minutes. This effect ends for the target if it takes damage or a creature within 5 feet of it takes an action to wake it.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 16):At will: Detect Magic, Minor Illusion, Scorching Ray, Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell), Speak with Animals1/day each: Detect Thoughts, Control Weather","","","Blazing Light. The dragon uses Spellcasting to cast Scorching Ray.
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.
Scorching Sands. Dexterity Saving Throw: DC 16, one creature the dragon can see within 120 feet. Failure: 27 (6d8) Fire damage, and the target's Speed is halved until the end of its next turn. Failure or Success: The dragon can't take this action again until the start of its next turn.","","","The area containing an adult or ancient brass dragon's lair is altered by its presence, creating the following effects:Mirages. While in its lair, the dragon can cast Major Image, requiring no Material components and using the same spellcasting ability as its Spellcasting action. When casting the spell this way, the spell's range is 1 mile, and the dragon doesn't need to see the spot where the illusion appears.Refreshing Water. Water within 1 mile of the lair is magically refreshing. A creature that drinks such water gains 2d4 Temporary Hit Points, and the dragon is immediately aware of the creature's presence.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Desert","Arcana"
"Adult Bronze Dragon","Huge","Dragon (Metallic)","lawful good","18","212 (17d12 + 102)","40 ft., fly 80 ft., swim 40 ft.","25","10","23","16","15","20","Dex +5, Wis +7","Insight +7, Perception +12, Stealth +5","","","lightning","","blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic","15 (13,000 XP) or (15,000 XP) when encountered in lair","Amphibious. The dragon can breathe air and water.
Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of (A) Repulsion Breath or (B) Spellcasting to cast Guiding Bolt (level 2 version).
Rend. Melee Attack Roll: +12, reach 10 ft. Hit: 16 (2d8 + 7) Slashing damage plus 5 (1d10) Lightning damage.
Lightning Breath (Recharge 5–6). Dexterity Saving Throw: DC 19, each creature in a 90-foot-long, 5-foot-wide Line. Failure: 55 (10d10) Lightning damage. Success: Half damage.
Repulsion Breath. Strength Saving Throw: DC 19, each creature in a 30-foot Cone. Failure: The target is pushed up to 60 feet straight away from the dragon and has the Prone condition.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17, +10 to hit with spell attacks):At will: Detect Magic, Guiding Bolt (level 2 version), Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell), Speak with Animals, Thaumaturgy1/day each: Detect Thoughts, Water Breathing","","","Guiding Light. The dragon uses Spellcasting to cast Guiding Bolt (level 2 version).
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.
Thunderclap. Constitution Saving Throw: DC 17, each creature in a 20-foot-radius Sphere centered on a point the dragon can see within 90 feet. Failure: 10 (3d6) Thunder damage, and the target has the Deafened condition until the end of its next turn.","","","The region containing an adult or ancient bronze dragon's lair is changed by its presence, creating the following effects:Buoying Currents. Creatures within 1 mile of the lair that lack a Swim Speed ignore the extra cost of movement while swimming.Sun and Storms. While in its lair, the dragon can cast Control Weather, requiring no Material components and using the same spellcasting ability as its Spellcasting action. When casting the spell this way, the dragon can control the weather within 1 mile of its lair, regardless if the dragon is inside or outside.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Coastal","Implements"
"Adult Copper Dragon","Huge","Dragon (Metallic)","chaotic good","18","184 (16d12 + 80)","40 ft., climb 40 ft., fly 80 ft.","23","12","21","18","15","18","Dex +6, Wis +7","Deception +9, Perception +12, Stealth +6","","","acid","","blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic","14 (11,500 XP) or (13,000 XP) when encountered in lair","Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of (A) Slowing Breath or (B) Spellcasting to cast Mind Spike (level 4 version).
Rend. Melee Attack Roll: +11, reach 10 ft. Hit: 17 (2d10 + 6) Slashing damage plus 4 (1d8) Acid damage.
Acid Breath (Recharge 5–6). Dexterity Saving Throw: DC 18, each creature in an 60-foot-long, 5-foot-wide Line. Failure: 54 (12d8) Acid damage. Success: Half damage.
Slowing Breath. Constitution Saving Throw: DC 18, each creature in a 60-foot Cone. Failure: The target can't take Reactions; its Speed is halved; and it can take either an action or a Bonus Action on its turn, not both. This effect lasts until the end of its next turn.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17):At will: Detect Magic, Mind Spike (level 4 version), Minor Illusion, Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell)1/day each: Greater Restoration, Major Image","","","Giggling Magic. Charisma Saving Throw: DC 17, one creature the dragon can see within 90 feet. Failure: 24 (7d6) Psychic damage. Until the end of its next turn, the target rolls 1d6 whenever it makes an ability check or attack roll and subtracts the number rolled from the D20 Test. Failure or Success: The dragon can't take this action again until the start of its next turn.
Mind Jolt. The dragon uses Spellcasting to cast Mind Spike (level 4 version). The dragon can't take this action again until the start of its next turn.
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.","","","The region containing an adult or ancient copper dragon's lair is changed by its presence, creating the following effects:Chatty Critters. Tiny Beasts magically gain the ability to speak and understand Draconic while within 6 miles of the lair.Giggle Fits. Whenever a creature other than the dragon and its allies is within 1 mile of the lair and rolls a 1 on a D20 Test, it must succeed on a DC 15 Wisdom saving throw or have the Incapacitated condition until the end of its next turn, as it is wracked with laughter.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Hill","Arcana"
"Adult Crystal Dragon","Huge","Dragon (Gem)","chaotic neutral","16 (natural armor)","172 (15d12 + 75)","40 ft., burrow 40 ft., climb 40 ft., fly 80 ft.","21","12","21","18","15","19","Dex +5, Con +9, Wis +6, Cha +8","Perception +10, Stealth +9, Survival +6","","cold, radiant","","","blindsight 60 ft., darkvision 120 ft., passive Perception 20","Common, Draconic, telepathy 120 ft.","12 (8,400 XP) or 13 (10,000 XP) when encountered in lair","Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes one Bite attack and two Claw attacks.
Bite. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 16 (2d10 + 5) piercing damage plus 4 (1d8) radiant damage.
Claw. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) slashing damage.
Scintillating Breath (Recharge 5–6). The dragon exhales a burst of brilliant radiance in a 60-foot cone. Each creature in that area must make a DC 17 Constitution saving throw, taking 40 (9d8) radiant damage on a failed save, or half as much damage on a successful one. The dragon then gains 15 temporary hit points by absorbing a portion of the radiant energy.
Spellcasting (Psionics). The dragon casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 16):At will: dancing lights, guidance1/day each: command, divination, hypnotic pattern, lesser restoration","Change Shape. The dragon magically transforms into any creature that is Medium or Small, while retaining its game statistics (other than its size). This transformation ends if the dragon is reduced to 0 hit points or uses a bonus action to end it.
Psychic Step. The dragon magically teleports to an unoccupied space it can see within 60 feet of it.","","Claw. The dragon makes one Claw attack.
Psionics (Costs 2 Actions). The dragon uses Psychic Step or Spellcasting.
Starlight Strike (Costs 3 Actions). The dragon releases a searing beam of starlight at a creature that it can see within 60 feet of it. The target must succeed on a DC 17 Dexterity saving throw or take 31 (9d6) radiant damage.","","On initiative count 20 (losing initiative ties), the dragon can take one of the following lair actions; the dragon can't take the same lair action two rounds in a row:Beguiling Whisper. The dragon telepathically whispers to one creature within range of the dragon's telepathy. The creature must succeed on a DC 15 Wisdom saving throw or be charmed by the dragon until initiative count 20 on the next round. A creature charmed in this way obeys to the best of its ability any command the dragon issues that isn't directly harmful to the creature.Ice Passage. The dragon can open a passage through a wall of ice or snow that is up to 5 feet thick, creating an opening up to 30 feet wide and high.Starlight's Gleam. The dragon chooses a point it can see in the lair. Gleaming starlight radiates from that point to fill a 10-foot-radius sphere with dim light. Each creature other than the dragon in that area when the light appears must succeed on a DC 15 Dexterity saving throw or take 13 (2d12) radiant damage and be outlined in the glow. Attack rolls made against an outlined creature have advantage, and the creature can't hide or benefit from being invisible. The starlight and the glow around any creature fades on initiative count 20 on the next round.","The region surrounding a legendary crystal dragon's lair is altered by the dragon's magic, creating one or more of the following effects:Clear Skies. The skies above a crystal dragon's lair remain clear and free of precipitation unless magically altered. Winds blow lightly, posing little threat to those approaching the lair, and visibility is the best possible for the time of day.Crystal Profusion. Plentiful quartz crystals form in natural stone within 6 miles of the lair, particularly in places where natural light can shine on the crystals.Icy Sight. Ice and quartz within 6 miles of the lair become conduits for the dragon's psionic presence. As an action, the dragon can cast the clairvoyance spell, requiring no spell components and targeting any ice or quartz crystals in that region.Positive Energy. Any creature that finishes a long rest within 6 miles of the lair regains two additional spent Hit Dice.Thriving Wildlife. Animal populations flourish within 6 miles of the lair. Ability checks made to forage for food by hunting, fishing, or trapping in that area are made with advantage.If the dragon dies, the animal population near the lair returns to normal levels over the course of 1d10 days. The increased Hit Die recovery ends immediately. The existing abundance of quartz crystals remains, but new crystals form at a normal rate.","",""
"Adult Emerald Dragon","Huge","Dragon (Gem)","lawful neutral","18 (natural armor)","207 (18d12 + 90)","40 ft., burrow 30 ft., fly 80 ft.","23","12","21","18","16","18","Dex +6, Con +10, Wis +8, Cha +9","Arcana +9, Deception +9, Perception +13, Stealth +6","","fire, psychic","","","blindsight 60 ft., darkvision 120 ft., passive Perception 23","Common, Draconic, telepathy 120 ft.","14 (11,500 XP) or 15 (13,000 XP) when encountered in lair","Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.
Shift Perception (1/Day). The dragon can cast hallucinatory terrain, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 17).
Tunneler. The dragon can burrow through solid rock at half its burrowing speed and can leave a 15-foot-diameter tunnel in its wake.","Multiattack. The dragon makes one Bite attack and two Claw attacks.
Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 7 (2d6) psychic damage.
Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 10 (1d8 + 6) slashing damage.
Disorienting Breath (Recharge 5–6). The dragon exhales a wave of psychic dissonance in a 60-foot cone. Each creature in that area must make a DC 18 Intelligence saving throw. On a failed save, the creature takes 42 (12d6) psychic damage, and until the end of its next turn, when the creature makes an attack roll or an ability check, it must roll a d6 and reduce the total by the number rolled. On a successful save, the creature takes half as much damage with no additional effects.
Spellcasting (Psionics). The dragon casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 17):At will: mage hand (the hand is invisible), minor illusion1/day each: detect thoughts, dispel magic, invisibility, major image","Change Shape. The dragon magically transforms into any creature that is Medium or Small, while retaining its game statistics (other than its size). This transformation ends if the dragon is reduced to 0 hit points or uses a bonus action to end it.
Psychic Step. The dragon magically teleports to an unoccupied space it can see within 60 feet of it.","","Claw. The dragon makes one Claw attack.
Psionics (Costs 2 Actions). The dragon uses Psychic Step or Spellcasting.
Emerald Embers (Costs 3 Actions). The dragon creates a dancing mote of green flame around a creature it can see within 60 feet of it. The target must succeed on a DC 17 Dexterity saving throw or take 31 (9d6) fire damage.","","On initiative count 20 (losing initiative ties), the dragon can take one of the following lair actions; the dragon can't take the same lair action two rounds in a row:Beguiling Whisper. The dragon telepathically whispers to one creature within range of the dragon's telepathy. The creature must succeed on a DC 15 Wisdom saving throw or be charmed by the dragon until initiative count 20 on the next round. A creature charmed in this way obeys to the best of its ability any command the dragon issues that isn't directly harmful to the creature.Distort Perceptions. The dragon attempts to alter the perceptions of one creature it can see within its lair. That creature must succeed on a DC 15 Intelligence saving throw or take 22 (4d10) psychic damage and have disadvantage on saving throws until the start of its next turn.Vanish. The dragon becomes invisible until initiative count 20 on the next round.","The region surrounding a legendary emerald dragon's lair is altered by the dragon's magic, creating one or more of the following effects:Crystal Profusion. Natural stone within 6 miles of the lair grows plentiful crystal formations and veins of emerald gemstones.Fiery Sight. Fire and lava within 6 miles of the lair become conduits for the dragon's psionic presence. As an action, the dragon can cast the clairvoyance spell, requiring no spell components and targeting any area of fire or lava in that region.Subtle Obstruction. Rocks within 6 miles of the dragon's lair sometimes move of their own accord, usually when no one is watching. Often the rocks obstruct the approach to the emerald dragon's lair, with boulders moving to block narrow defiles, way-markers tumbling off the path, or smaller stones shifting beneath travelers' feet to send them tumbling down slopes or into rivers.Thriving Wildlife. Giant lizards are attracted to the area within 6 miles of the lair and settle there in large numbers.If the dragon dies, the population of giant lizards near the lair returns to normal levels over the course of 1d10 days. Rocks immediately stop moving of their own accord. The existing abundance of crystals and emeralds remains, but new ones form at a normal rate.","",""
"Adult Gold Dragon","Huge","Dragon (Metallic)","lawful good","19","243 (18d12 + 126)","40 ft., fly 80 ft., swim 40 ft.","27","14","25","16","15","24","Dex +8, Wis +8","Insight +8, Perception +14, Persuasion +13, Stealth +8","","","fire","","blindsight 60 ft., darkvision 120 ft., passive Perception 24","Common, Draconic","17 (18,000 XP) or (20,000 XP) when encountered in lair","Amphibious. The dragon can breathe air and water.
Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of (A) Spellcasting to cast Guiding Bolt (level 2 version) or (B) Weakening Breath.
Rend. Melee Attack Roll: +14, reach 10 ft. Hit: 17 (2d8 + 8) Slashing damage plus 4 (1d8) Fire damage.
Fire Breath (Recharge 5–6). Dexterity Saving Throw: DC 21, each creature in a 60-foot Cone. Failure: 66 (12d10) Fire damage. Success: Half damage.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 21, +13 to hit with spell attacks):At will: Detect Magic, Guiding Bolt (level 2 version), Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell)1/day each: Flame Strike, Zone of Truth
Weakening Breath. Strength Saving Throw: DC 21, each creature that isn't currently affected by this breath in a 60-foot Cone. Failure: The target has Disadvantage on Strength-based D20 Tests and subtracts 3 (1d6) from its damage rolls. It repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.","","","Banish. Charisma Saving Throw: DC 21, one creature the dragon can see within 120 feet. Failure: 10 (3d6) Force damage, and the target has the Incapacitated condition and is transported to a harmless demiplane until the start of the dragon's next turn, at which point it reappears in an unoccupied space of the dragon's choice within 120 feet of the dragon. Failure or Success: The dragon can't take this action again until the start of its next turn.
Guiding Light. The dragon uses Spellcasting to cast Guiding Bolt (level 2 version).
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.","","","The region containing an adult or ancient gold dragon's lair is altered by its presence, creating the following effects:Dream Messenger. While in its lair, the dragon can cast Dream, requiring no Material components and using Charisma as the spellcasting ability. When casting the spell this way, the dragon can target any creature within 6 miles.Foretelling Fog. The area within 1 mile of the lair is Lightly Obscured by opalescent fog. While in that area, creatures can't be surprised, as the fog swirls into shapes that warn of danger.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Forest, Grassland","Arcana"
"Adult Green Dragon","Huge","Dragon (Chromatic)","lawful evil","19","207 (18d12 + 90)","40 ft., fly 80 ft., swim 40 ft.","23","12","21","18","15","18","Dex +6, Wis +7","Deception +9, Perception +12, Persuasion +9, Stealth +6","","","poison","poisoned","blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic","15 (13,000 XP) or (15,000 XP) when encountered in lair","Amphibious. The dragon can breathe air and water.
Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast Mind Spike (level 3 version).
Rend. Melee Attack Roll: +11, reach 10 ft. Hit: 15 (2d8 + 6) Slashing damage plus 7 (2d6) Poison damage.
Poison Breath (Recharge 5–6). Constitution Saving Throw: DC 18, each creature in a 60-foot Cone. Failure: 56 (16d6) Poison damage. Success: Half damage.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17):At will: Detect Magic, Mind Spike (level 3 version)1/day: Geas","","","Mind Invasion. The dragon uses Spellcasting to cast Mind Spike (level 3 version).
Noxious Miasma. Constitution Saving Throw: DC 17, each creature in a 20-foot-radius Sphere centered on a point the dragon can see within 90 feet. Failure: 7 (2d6) Poison damage, and the target takes a -2 penalty to AC until the end of its next turn. Failure or Success: The dragon can't take this action again until the start of its next turn.
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.","","","The region containing an adult or ancient green dragon's lair is warped by its presence, creating the following effects:Beast Spies. Tiny Beasts magically gain the ability to understand Draconic and can communicate telepathically with the dragon while within 1 mile of the lair.Poisonous Thicket. Ordinary plants growing within 1 mile of the lair poison the air around them. Whenever a creature other than the dragon or its allies finishes a Long Rest in that area, it must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 1 hour.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Forest","Arcana"
"Adult Red Dragon","Huge","Dragon (Chromatic)","chaotic evil","19","256 (19d12 + 133)","40 ft., climb 40 ft., fly 80 ft.","27","10","25","16","13","23","Dex +6, Wis +7","Perception +13, Stealth +6","","","fire","","blindsight 60 ft., darkvision 120 ft., passive Perception 23","Common, Draconic","17 (18,000 XP) or (20,000 XP) when encountered in lair","Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast Scorching Ray.
Rend. Melee Attack Roll: +14, reach 10 ft. Hit: 13 (1d10 + 8) Slashing damage plus 5 (2d4) Fire damage.
Fire Breath (Recharge 5–6). Dexterity Saving Throw: DC 21, each creature in a 60-foot Cone. Failure: 59 (17d6) Fire damage. Success: Half damage.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 20, +12 to hit with spell attacks):At will: Command (level 2 version), Detect Magic, Scorching Ray1/day: Fireball","","","Commanding Presence. The dragon uses Spellcasting to cast Command (level 2 version). The dragon can't take this action again until the start of its next turn.
Fiery Rays. The dragon uses Spellcasting to cast Scorching Ray. The dragon can't take this action again until the start of its next turn.
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.","","","The region containing an adult or ancient red dragon's lair is warped by its presence, creating the following effects:Burning Heat. The area within 1 mile of the lair is an area of extreme heat. A burning creature or object takes an additional 1d4 Fire damage at the start of each of its turns.Smoldering Haze. The area within 1 mile of the lair is Lightly Obscured with clouds of ash. Whenever a creature other than the dragon or one of its allies finishes a Long Rest in that area, that creature must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 1 hour.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Hill, Mountain","Any"
"Adult Sapphire Dragon","Huge","Dragon (Gem)","lawful neutral","18 (natural armor)","225 (18d12 + 108)","40 ft., burrow 30 ft., climb 40 ft., fly 80 ft.","23","14","22","18","17","18","Dex +7, Con +11, Wis +8, Cha +9","History +9, Perception +13, Persuasion +14, Stealth +7","","lightning, thunder","","frightened","blindsight 60 ft., darkvision 120 ft., passive Perception 23","Common, Draconic, telepathy 120 ft.","15 (13,000 XP) or 16 (15,000 XP) when encountered in lair","Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.
Spider Climb. The dragon can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.
Tunneler. The dragon can burrow through solid rock at half its burrowing speed and can leave a 10-foot-diameter tunnel in its wake.","Multiattack. The dragon makes one Bite attack and two Claw attacks.
Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 5 (1d10) thunder damage.
Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 10 (1d8 + 6) slashing damage.
Debilitating Breath (Recharge 5–6). The dragon exhales a pulse of high-pitched, nearly inaudible sound in a 60-foot cone. Each creature in that area must make a DC 19 Constitution saving throw. On a failed save, the creature takes 44 (8d10) thunder damage and is incapacitated until the end of its next turn. On a successful save, the creature takes half as much damage and isn't incapacitated.
Spellcasting (Psionics). The dragon casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 17):1/day each: dissonant whispers, hold monster, meld into stone, telekinesis","Change Shape. The dragon magically transforms into any creature that is Medium or Small, while retaining its game statistics (other than its size). This transformation ends if the dragon is reduced to 0 hit points or uses a bonus action to end it.
Psychic Step. The dragon magically teleports to an unoccupied space it can see within 60 feet of it.","","Claw. The dragon makes one Claw attack.
Psionics (Costs 2 Actions). The dragon uses Psychic Step or Spellcasting.
Telekinetic Fling (Costs 3 Actions). The dragon chooses one Small or smaller object that isn't being worn or carried that it can see within 60 feet of it, and it magically hurls the object at a creature it can see within 60 feet of the object. The target must succeed on a DC 17 Dexterity saving throw or take 31 (9d6) bludgeoning damage.","","On initiative count 20 (losing initiative ties), the dragon can take one of the following lair actions; the dragon can't take the same lair action two rounds in a row:Awesome Thunder. A thunderous detonation of sound that can be heard up to 300 feet away surrounds one creature in the lair that the dragon can see. That creature must succeed on a DC 15 Constitution saving throw or take 13 (3d8) thunder damage and be stunned until the end of its next turn.Beguiling Whisper. The dragon telepathically whispers to one creature within range of the dragon's telepathy. The creature must succeed on a DC 15 Wisdom saving throw or be charmed by the dragon until initiative count 20 on the next round. A creature charmed in this way obeys to the best of its ability any command the dragon issues that isn't directly harmful to the creature.Stone Passage. The dragon touches a section of stone up to 30 feet in any dimension. The dragon can shape the stone to open or close a passage through a wall, as long as the wall is less than 10 feet thick.","The region surrounding a legendary sapphire dragon's lair is altered by the dragon's magic, creating one or more of the following effects:Crystal Profusion. Natural stone within 6 miles of the lair grows plentiful crystal formations and veins of sapphire gemstones, particularly underground.Stony Sight. Natural stone within 6 miles of the lair is a conduit for the dragon's psionic presence. As an action, the dragon can cast the clairvoyance spell, requiring no spell components and targeting any natural stone formation in that region.Telepathic Enhancement. The dragon's psionic energy enhances the mental powers of other creatures. Any creature capable of telepathic communication has its telepathy range doubled while within 1 mile of the lair. This includes creatures with innate telepathy and magical telepathy such as the Rary's telepathic bond spell.Thriving Wildlife. Giant spiders (a sapphire dragon's favorite prey) are attracted to the area within 6 miles of the lair and settle there in large numbers.If the dragon dies, the population of giant spiders in the region returns to normal levels over the course of 1d10 days. The enhancement of telepathic abilities ends immediately. The existing abundance of crystals and sapphires remains, but new ones form at a normal rate.","",""
